Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas35               Pavarde35                      7         6        10         8         1         3         8         4         4         4         8         7         3         9         7         1
Vardas36               Pavarde36                      8         8         5         9         9        10         4         8         1         8        10         9         9         6         5        10
Vardas37               Pavarde37                      9         4         9         9         9         5        10         3         6         1         9         2         7         2         5         2
Vardas38               Pavarde38                      1         9         5         3         4         3         7         3         5         8         2         4         2         6         3         5
Vardas39               Pavarde39                      3         7         3         3        10         9         3        10         5         7        10         1         5         3         5         1
Vardas40               Pavarde40                      8         1         2         4         5         2         2         9         6         1         4         1         4         5         4         1
Vardas41               Pavarde41                      9         2         5         8         5         6         9        10         2         4         2         9         6         4         9         7
Vardas42               Pavarde42                      7         9        10         2         9         7         9         6         5         7         4         3         5         4         2         3
Vardas43               Pavarde43                     10         4         3        10         4         2         9         4         7         4        10         6         7         8         2         4
Vardas44               Pavarde44                      8         6         5         3         8         9         5         4         9        10         8        10         6         4        10         6
Vardas45               Pavarde45                      4         2         6         3        10         4         6         4         2         9         1         9         6         4         7         8
Vardas46               Pavarde46                      4         4         7         7         8         7         6         9         1         5         7        10         4         3        10        10
Vardas47               Pavarde47                     10        10         9         1         1         5         5         8         1         5         5         8         3         7        10         7
Vardas48               Pavarde48                      6         2         1         4         6         3         9         4         5         7        10         6         1         6         1         1
Vardas49               Pavarde49                      3         5         9         2         4         6         4         3         1         4         3         4         5         3         1         1
Vardas50               Pavarde50                      1         3         4         9         2         5        10         4        10         6         7         1         9         4         2         5
Vardas51               Pavarde51                      7         1         2         7        10         3         1         8         6         7         6         7         7         5         8         8
Vardas52               Pavarde52                      7         1        10         5         2         4         9         3         7         9         1         8        10         1         7         6
Vardas53               Pavarde53                     10         5         3        10         3         7         6         8         2         9         5         7         1         4         8         1
Vardas54               Pavarde54                      9         5         3        10         2         1         5         7         4         7         5         5         7         4         1         6
Vardas55               Pavarde55                      4        10         4         6         4         4        10         5         2         8         1         1         2         7         9         9
Vardas56               Pavarde56                      6         8         7         1         7         7         3         9         2         7         5         2         6         2         4         5
Vardas57               Pavarde57                      1         2         9         7         2         1         5         6         7         7         6         7         6         5         3         5
Vardas58               Pavarde58                      8         4        10        10         6         9         5         7         2        10         9         7         3        10         4         4
Vardas59               Pavarde59                      9         9         2         9         4         1         5         1         7         5         2         8         3         1         5         5
Vardas60               Pavarde60                      4         4         8         5         8         6        10         2         5         2         6         8         8        10         2         6
Vardas61               Pavarde61                     10         1         4         6         4         1        10         3         5         6         3         4         5         4         5         8
Vardas62               Pavarde62                     10         6         2         8         4         8         3         6         3         1         3        10         8         3         6        10
Vardas63               Pavarde63                      9         7         7         2         5         7         5         4         5         6         3         5         6         1        10         7
Vardas64               Pavarde64                      8         5         7         4         9         1         9         5         8         8         4        10         9         6         6         7
Vardas65               Pavarde65                      2         4         8         5         2         5         2         7         7         6         5         5         1         1         8         3
Vardas66               Pavarde66                      3         5        10         6         4        10        10         4         5         4         6         3         7         8         4         6
Vardas67               Pavarde67                      5         1         9         1        10         7         7         1         3         8        10         4         8         4        10        10
Vardas68               Pavarde68                      8        10         4        10         2         8         7         5         4         9         8         9        10         5         3         2
Vardas69               Pavarde69                      7         3         7        10         4        10         8         3         9         9         4        10         8         1         8         9
Vardas70               Pavarde70                      7         7         8         6         9         8         7         4        10         3         7         3         1         7         4         1
Vardas71               Pavarde71                      1        10         6         1         5         3         6         9         1         9         9         5         4         7         6         9
Vardas72               Pavarde72                     10         7         4         7         3         9        10         1         9         6         8         9         1         5         9         4
Vardas73               Pavarde73                      9         6         3         6         5         2         8         2         7         3         5         4         2         1         9        10
Vardas74               Pavarde74                      6         9         6         1         9         5         8         3         2         3         6         9         1         5         2         2
Vardas75               Pavarde75                     10         9         1         8         9         2         9         3         2         7         5         6        10         5         8         7
Vardas76               Pavarde76                      9         3         5         7         3         6         9         2         7         4        10         1         6         1         5         7
Vardas77               Pavarde77                      5         4         7         6         6         7         4         7         7         2         1        10        10         2         8         3
Vardas78               Pavarde78                      5         4         8         7         1         5         6         4         9        10         1         5        10         1        10        10
Vardas79               Pavarde79                      1         4         2         1         3         2         3         2         2         3         1         9        10         2         9         6
Vardas80               Pavarde80                      6         5         9         2         6         6         4         9         4         5         8         7         4        10         2         8
Vardas81               Pavarde81                      9         5         9         7         3         7         7        10         7         7         3         5         5         4         5         2
Vardas82               Pavarde82                      2         2         8         3         7        10         3         7         6         4         7         8         1         1         3         2
Vardas83               Pavarde83                      2        10        10         9         1         9         2         9         9         6         4         7         2         9         7         3
Vardas84               Pavarde84                      5         8         5         1         7         5         2         5         4         1         3         4         5         5         3         5
Vardas85               Pavarde85                      7         5         7         5         9         4         3         5         3         9         3         7         4         7         3         4
Vardas86               Pavarde86                      9         7        10         9         8         3        10         6         9         4         3        10         8         4         9         4
Vardas87               Pavarde87                      4         1         4         1         5         1        10         5         3         3         8         5         1         7        10         9
Vardas88               Pavarde88                      8         9         4         2         3         4         5         6        10         9         5         8         4         8         6         7
Vardas89               Pavarde89                      1         3         3         4         4         5         1         5         5         6         5         6         2         5         7         7
Vardas90               Pavarde90                      7         2         7         3         3         3         8         9         6         5         8         8         3         7         8         9
Vardas91               Pavarde91                      2         7         3         1         9         3        10         3        10         3        10         9         2         2         6         8
Vardas92               Pavarde92                      3         7         1         4         8         2         7         1        10        10         8         9        10         8         2         8
Vardas93               Pavarde93                      3         8         2         5         4         7         5         7         6         6        10         7         8        10         5         5
Vardas94               Pavarde94                      1         1         1         5         5         8         4         2        10         5         9         9         1         8         6         9
Vardas95               Pavarde95                      5         1         9        10         3         4        10         8         9         6         1         3         6         5         5         5
Vardas96               Pavarde96                      4         3         3         9         6         5         6         6         2        10         5         7         4         4         2         4
Vardas97               Pavarde97                     10         2         5         7         8         1        10        10         4         2         4         6        10         8         9        10
Vardas98               Pavarde98                      1         2         9        10         6         8        10         4         2         8         6         5         9         2         4         5
Vardas99               Pavarde99                      6         3         4         3         2         9        10         9        10         9         6         3         4         8         1         6
Vardas100             Pavarde100                      3         7         3        10         2         1         9         3         4         8         8         1         7         2         3         8
